Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2025-06-16,SELL ALL,1,22162.75,0,21515.0,647.75,12955.0,IBS Exit
2025-06-17,BUY,1,21952.0,1,,,,
2025-06-23,SELL ALL,1,22072.25,0,21952.0,120.25,2405.0,IBS Exit
2025-07-15,BUY,1,23017.75,1,,,,
2025-07-17,SELL ALL,1,23265.5,0,23017.75,247.75,4955.0,IBS Exit
2025-07-29,BUY,1,23452.0,1,,,,
2025-07-30,SELL ALL,1,23661.75,0,23452.0,209.75,4195.0,IBS Exit
2025-07-31,BUY,1,23329.5,1,,,,
2025-08-01,BUY,1,22870.0,2,,,,
2025-08-04,SELL ALL,2,23350.75,0,23099.75,502.0,10040.0,IBS Exit
2025-08-05,BUY,1,23092.0,1,,,,
2025-08-06,SELL ALL,1,23413.25,0,23092.0,321.25,6425.0,IBS Exit
2025-08-11,BUY,1,23629.5,1,,,,
2025-08-12,SELL ALL,1,23949.5,0,23629.5,320.0,6400.0,IBS Exit
2025-08-13,BUY,1,23927.75,1,,,,
2025-08-19,BUY,1,23473.5,2,,,,
2025-08-22,SELL ALL,2,23582.75,0,23700.62,-235.75,-4715.0,IBS Exit
2025-08-29,BUY,1,23454.5,1,,,,
2025-09-04,SELL ALL,1,23684.0,0,23454.5,229.5,4590.0,IBS Exit
2025-09-16,BUY,1,24530.25,1,,,,
2025-09-19,SELL ALL,1,24861.0,0,24530.25,330.75,6615.0,IBS Exit
2025-09-23,BUY,1,24833.75,1,,,,
2025-09-26,SELL ALL,1,24726.5,0,24833.75,-107.25,-2145.0,IBS Exit
2025-10-03,BUY,1,24982.0,1,,,,
2025-10-08,SELL ALL,1,25354.0,0,24982.0,372.0,7440.0,IBS Exit
2025-10-10,BUY,1,24188.0,1,,,,
2025-10-17,SELL ALL,1,25033.5,0,24188.0,845.5,16910.0,IBS Exit
2025-11-04,BUY,1,25577.0,1,,,,
2025-11-06,BUY,1,25311.5,2,,,,
2025-11-10,SELL ALL,2,25720.75,0,25444.25,553.0,11060.0,IBS Exit
2025-11-13,BUY,1,25087.5,1,,,,
2025-11-19,SELL ALL,1,24958.75,0,25087.5,-128.75,-2575.0,IBS Exit
2025-11-20,BUY,1,24073.75,1,,,,
2025-11-24,SELL ALL,1,24962.75,0,24073.75,889.0,17780.0,IBS Exit
2025-12-12,BUY,1,25202.5,1,,,,
2025-12-15,BUY,1,25101.5,2,,,,
2025-12-17,BUY,1,24951.75,3,,,,
2025-12-19,SELL ALL,3,25597.5,0,25085.25,1536.75,30735.0,IBS Exit
2025-12-26,BUY,1,25856.0,1,,,,
2025-12-30,BUY,1,25676.0,2,,,,
2025-12-31,BUY,1,25434.75,3,,,,
2026-01-06,SELL ALL,3,25831.25,0,25655.58,527.0,10540.0,IBS Exit
2026-01-20,BUY,1,25142.75,1,,,,
2026-01-27,SELL ALL,1,26110.0,0,25142.75,967.25,19345.0,IBS Exit
2026-01-30,BUY,1,25639.25,1,,,,
2026-02-02,SELL ALL,1,25873.25,0,25639.25,234.0,4680.0,IBS Exit
2026-02-05,BUY,1,24425.25,1,,,,
2026-02-06,SELL ALL,1,25107.75,0,24425.25,682.5,13650.0,IBS Exit
2026-02-12,BUY,1,24822.0,1,,,,
2026-02-25,SELL ALL,1,25461.75,0,24822.0,639.75,12795.0,IBS Exit
2026-03-06,BUY,1,24661.25,1,,,,
2026-03-09,SELL ALL,1,24958.0,0,24661.25,296.75,5935.0,IBS Exit
2026-03-12,BUY,1,24568.5,1,,,,
2026-03-13,BUY,1,24335.25,2,,,,
2026-03-18,BUY,1,24606.25,3,,,,
2026-03-26,BUY,1,23822.0,4,,,,
2026-03-27,BUY,1,23254.25,5,,,,
2026-03-31,SELL ALL,5,23905.5,0,24117.25,-1058.75,-21175.0,IBS Exit
2026-04-03,BUY,1,24129.75,1,,,,
2026-04-07,SELL ALL,1,24399.25,0,24129.75,269.5,5390.0,IBS Exit
2026-04-29,BUY,1,27148.75,1,,,,
2026-04-30,SELL ALL,1,27598.5,0,27148.75,449.75,8995.0,IBS Exit
